Sample_Index,Time_s,X_Voltage,Y_Voltage,Laser_Raw,Pixel_Clock,Line_Clock,Frame_Clock,Line_Number,Pixel_In_Line
0,0.000000000,-1.000000000,-1.000000000,0.000000000,0,0,0,-1,-1
1,0.000001000,-0.995555556,-1.000000000,0.000000000,0,0,0,-1,-1
2,0.000002000,-0.991111111,-1.000000000,0.000000000,0,0,0,-1,-1
3,0.000003000,-0.986666667,-1.000000000,0.000000000,0,0,0,-1,-1
4,0.000004000,-0.982222222,-1.000000000,0.000000000,0,0,0,-1,-1
5,0.000005000,-0.977777778,-1.000000000,0.000000000,0,0,0,-1,-1
6,0.000006000,-0.973333333,-1.000000000,0.000000000,0,0,0,-1,-1
7,0.000007000,-0.968888889,-1.000000000,0.000000000,0,0,0,-1,-1
8,0.000008000,-0.964444444,-1.000000000,0.000000000,0,0,0,-1,-1
9,0.000009000,-0.960000000,-1.000000000,0.000000000,0,0,0,-1,-1
10,0.000010000,-0.955555556,-1.000000000,0.000000000,0,0,0,-1,-1
11,0.000011000,-0.951111111,-1.000000000,0.000000000,0,0,0,-1,-1
12,0.000012000,-0.946666667,-1.000000000,0.000000000,0,0,0,-1,-1
13,0.000013000,-0.942222222,-1.000000000,0.000000000,0,0,0,-1,-1
14,0.000014000,-0.937777778,-1.000000000,0.000000000,0,0,0,-1,-1
15,0.000015000,-0.933333333,-1.000000000,0.000000000,0,0,0,-1,-1
16,0.000016000,-0.928888889,-1.000000000,0.000000000,0,0,0,-1,-1
17,0.000017000,-0.924444444,-1.000000000,0.000000000,0,0,0,-1,-1
18,0.000018000,-0.920000000,-1.000000000,0.000000000,0,0,0,-1,-1
19,0.000019000,-0.915555556,-1.000000000,0.000000000,0,0,0,-1,-1
20,0.000020000,-0.911111111,-1.000000000,0.000000000,0,0,0,-1,-1
21,0.000021000,-0.906666667,-1.000000000,0.000000000,0,0,0,-1,-1
22,0.000022000,-0.902222222,-1.000000000,0.000000000,0,0,0,-1,-1
23,0.000023000,-0.897777778,-1.000000000,0.000000000,0,0,0,-1,-1
24,0.000024000,-0.893333333,-1.000000000,0.000000000,0,0,0,-1,-1
25,0.000025000,-0.888888889,-1.000000000,0.000000000,0,0,0,-1,-1
26,0.000026000,-0.884444444,-1.000000000,0.000000000,0,0,0,-1,-1
27,0.000027000,-0.880000000,-1.000000000,0.000000000,0,0,0,-1,-1
28,0.000028000,-0.875555556,-1.000000000,0.000000000,0,0,0,-1,-1
29,0.000029000,-0.871111111,-1.000000000,0.000000000,0,0,0,-1,-1
30,0.000030000,-0.866666667,-1.000000000,0.000000000,0,0,0,-1,-1
31,0.000031000,-0.862222222,-1.000000000,0.000000000,0,0,0,-1,-1
32,0.000032000,-0.857777778,-1.000000000,0.000000000,0,0,0,-1,-1
33,0.000033000,-0.853333333,-1.000000000,0.000000000,0,0,0,-1,-1
34,0.000034000,-0.848888889,-1.000000000,0.000000000,0,0,0,-1,-1
35,0.000035000,-0.844444444,-1.000000000,0.000000000,0,0,0,-1,-1
36,0.000036000,-0.840000000,-1.000000000,0.000000000,0,0,0,-1,-1
37,0.000037000,-0.835555556,-1.000000000,0.000000000,0,0,0,-1,-1
38,0.000038000,-0.831111111,-1.000000000,0.000000000,0,0,0,-1,-1
39,0.000039000,-0.826666667,-1.000000000,0.000000000,0,0,0,-1,-1
40,0.000040000,-0.822222222,-1.000000000,0.000000000,0,0,0,-1,-1
41,0.000041000,-0.817777778,-1.000000000,0.000000000,0,0,0,-1,-1
42,0.000042000,-0.813333333,-1.000000000,0.000000000,0,0,0,-1,-1
43,0.000043000,-0.808888889,-1.000000000,0.000000000,0,0,0,-1,-1
44,0.000044000,-0.804444444,-1.000000000,0.000000000,0,0,0,-1,-1
45,0.000045000,-0.800000000,-1.000000000,0.000000000,0,0,0,-1,-1
46,0.000046000,-0.795555556,-1.000000000,0.000000000,0,0,0,-1,-1
47,0.000047000,-0.791111111,-1.000000000,0.000000000,0,0,0,-1,-1
48,0.000048000,-0.786666667,-1.000000000,0.000000000,0,0,0,-1,-1
49,0.000049000,-0.782222222,-1.000000000,0.000000000,0,0,0,-1,-1
50,0.000050000,-0.777777778,-1.000000000,0.000000000,0,0,0,-1,-1
51,0.000051000,-0.773333333,-1.000000000,0.000000000,0,0,0,-1,-1
52,0.000052000,-0.768888889,-1.000000000,0.000000000,0,0,0,-1,-1
53,0.000053000,-0.764444444,-1.000000000,0.000000000,0,0,0,-1,-1
54,0.000054000,-0.760000000,-1.000000000,0.000000000,0,0,0,-1,-1
55,0.000055000,-0.755555556,-1.000000000,0.000000000,0,0,0,-1,-1
56,0.000056000,-0.751111111,-1.000000000,0.000000000,0,0,0,-1,-1
57,0.000057000,-0.746666667,-1.000000000,0.000000000,0,0,0,-1,-1
58,0.000058000,-0.742222222,-1.000000000,0.000000000,0,0,0,-1,-1
59,0.000059000,-0.737777778,-1.000000000,0.000000000,0,0,0,-1,-1
60,0.000060000,-0.733333333,-1.000000000,0.000000000,0,0,0,-1,-1
61,0.000061000,-0.728888889,-1.000000000,0.000000000,0,0,0,-1,-1
62,0.000062000,-0.724444444,-1.000000000,0.000000000,0,0,0,-1,-1
63,0.000063000,-0.720000000,-1.000000000,0.000000000,0,0,0,-1,-1
64,0.000064000,-0.715555556,-1.000000000,0.000000000,0,0,0,-1,-1
65,0.000065000,-0.711111111,-1.000000000,0.000000000,0,0,0,-1,-1
66,0.000066000,-0.706666667,-1.000000000,0.000000000,0,0,0,-1,-1
67,0.000067000,-0.702222222,-1.000000000,0.000000000,0,0,0,-1,-1
68,0.000068000,-0.697777778,-1.000000000,0.000000000,0,0,0,-1,-1
69,0.000069000,-0.693333333,-1.000000000,0.000000000,0,0,0,-1,-1
70,0.000070000,-0.688888889,-1.000000000,0.000000000,0,0,0,-1,-1
71,0.000071000,-0.684444444,-1.000000000,0.000000000,0,0,0,-1,-1
72,0.000072000,-0.680000000,-1.000000000,0.000000000,0,0,0,-1,-1
73,0.000073000,-0.675555556,-1.000000000,0.000000000,0,0,0,-1,-1
74,0.000074000,-0.671111111,-1.000000000,0.000000000,0,0,0,-1,-1
75,0.000075000,-0.666666667,-1.000000000,0.000000000,0,0,0,-1,-1
76,0.000076000,-0.662222222,-1.000000000,0.000000000,0,0,0,-1,-1
77,0.000077000,-0.657777778,-1.000000000,0.000000000,0,0,0,-1,-1
78,0.000078000,-0.653333333,-1.000000000,0.000000000,0,0,0,-1,-1
79,0.000079000,-0.648888889,-1.000000000,0.000000000,0,0,0,-1,-1
80,0.000080000,-0.644444444,-1.000000000,0.000000000,0,0,0,-1,-1
81,0.000081000,-0.640000000,-1.000000000,0.000000000,0,0,0,-1,-1
82,0.000082000,-0.635555556,-1.000000000,0.000000000,0,0,0,-1,-1
83,0.000083000,-0.631111111,-1.000000000,0.000000000,0,0,0,-1,-1
84,0.000084000,-0.626666667,-1.000000000,0.000000000,0,0,0,-1,-1
85,0.000085000,-0.622222222,-1.000000000,0.000000000,0,0,0,-1,-1
86,0.000086000,-0.617777778,-1.000000000,0.000000000,0,0,0,-1,-1
87,0.000087000,-0.613333333,-1.000000000,0.000000000,0,0,0,-1,-1
88,0.000088000,-0.608888889,-1.000000000,0.000000000,0,0,0,-1,-1
89,0.000089000,-0.604444444,-1.000000000,0.000000000,0,0,0,-1,-1
90,0.000090000,-0.600000000,-1.000000000,0.000000000,0,0,0,-1,-1
91,0.000091000,-0.595555556,-1.000000000,0.000000000,0,0,0,-1,-1
92,0.000092000,-0.591111111,-1.000000000,0.000000000,0,0,0,-1,-1
93,0.000093000,-0.586666667,-1.000000000,0.000000000,0,0,0,-1,-1
94,0.000094000,-0.582222222,-1.000000000,0.000000000,0,0,0,-1,-1
95,0.000095000,-0.577777778,-1.000000000,0.000000000,0,0,0,-1,-1
96,0.000096000,-0.573333333,-1.000000000,0.000000000,0,0,0,-1,-1
97,0.000097000,-0.568888889,-1.000000000,0.000000000,0,0,0,-1,-1
98,0.000098000,-0.564444444,-1.000000000,0.000000000,0,0,0,-1,-1
99,0.000099000,-0.560000000,-1.000000000,0.000000000,0,0,0,-1,-1
100,0.000100000,-0.555555556,-1.000000000,0.000000000,0,0,0,-1,-1
101,0.000101000,-0.551111111,-1.000000000,0.000000000,0,0,0,-1,-1
102,0.000102000,-0.546666667,-1.000000000,0.000000000,0,0,0,-1,-1
103,0.000103000,-0.542222222,-1.000000000,0.000000000,0,0,0,-1,-1
104,0.000104000,-0.537777778,-1.000000000,0.000000000,0,0,0,-1,-1
105,0.000105000,-0.533333333,-1.000000000,0.000000000,0,0,0,-1,-1
106,0.000106000,-0.528888889,-1.000000000,0.000000000,0,0,0,-1,-1
107,0.000107000,-0.524444444,-1.000000000,0.000000000,0,0,0,-1,-1
108,0.000108000,-0.520000000,-1.000000000,0.000000000,0,0,0,-1,-1
109,0.000109000,-0.515555556,-1.000000000,0.000000000,0,0,0,-1,-1
110,0.000110000,-0.511111111,-1.000000000,0.000000000,0,0,0,-1,-1
111,0.000111000,-0.506666667,-1.000000000,0.000000000,0,0,0,-1,-1
112,0.000112000,-0.502222222,-1.000000000,0.000000000,0,0,0,-1,-1
113,0.000113000,-0.497777778,-1.000000000,0.000000000,0,0,0,-1,-1
114,0.000114000,-0.493333333,-1.000000000,0.000000000,0,0,0,-1,-1
115,0.000115000,-0.488888889,-1.000000000,0.000000000,0,0,0,-1,-1
116,0.000116000,-0.484444444,-1.000000000,0.000000000,0,0,0,-1,-1
117,0.000117000,-0.480000000,-1.000000000,0.000000000,0,0,0,-1,-1
118,0.000118000,-0.475555556,-1.000000000,0.000000000,0,0,0,-1,-1
119,0.000119000,-0.471111111,-1.000000000,0.000000000,0,0,0,-1,-1
120,0.000120000,-0.466666667,-1.000000000,0.000000000,0,0,0,-1,-1
121,0.000121000,-0.462222222,-1.000000000,0.000000000,0,0,0,-1,-1
122,0.000122000,-0.457777778,-1.000000000,0.000000000,0,0,0,-1,-1
123,0.000123000,-0.453333333,-1.000000000,0.000000000,0,0,0,-1,-1
124,0.000124000,-0.448888889,-1.000000000,0.000000000,0,0,0,-1,-1
125,0.000125000,-0.444444444,-1.000000000,0.000000000,0,0,0,-1,-1
126,0.000126000,-0.440000000,-1.000000000,0.000000000,0,0,0,-1,-1
127,0.000127000,-0.435555556,-1.000000000,0.000000000,0,0,0,-1,-1
128,0.000128000,-0.431111111,-1.000000000,0.000000000,0,0,0,-1,-1
129,0.000129000,-0.426666667,-1.000000000,0.000000000,0,0,0,-1,-1
130,0.000130000,-0.422222222,-1.000000000,0.000000000,0,0,0,-1,-1
131,0.000131000,-0.417777778,-1.000000000,0.000000000,0,0,0,-1,-1
132,0.000132000,-0.413333333,-1.000000000,0.000000000,0,0,0,-1,-1
133,0.000133000,-0.408888889,-1.000000000,0.000000000,0,0,0,-1,-1
