line_index,ticks_to_next_line,pixels_in_line
0,981,38
1,963,38
2,981,38
3,963,38
4,981,38
5,963,38
6,981,38
7,963,38
8,981,38
9,963,38
10,982,38
11,963,38
12,981,38
13,963,38
14,981,38
15,963,38
16,981,38
17,963,38
18,982,38
19,963,38
20,981,38
21,963,38
22,981,38
23,963,38
24,981,38
25,963,38
26,982,38
27,963,38
28,981,38
29,963,38
