line_index,ticks_to_next_line,pixels_in_line
0,494,16
1,494,16
2,494,16
3,494,16
4,494,16
5,494,16
6,494,16
7,494,16
8,494,16
9,492,16
10,494,16
11,494,16
12,494,16
13,494,16
14,494,16
